"","term","estimate","std.error","statistic","p.value"
"84","hi_pub",-2.24826887981185,0.356976033907602,-6.29809473538434,3.51404510753142e-10
"85","demv",-1.39486965474473,0.183113857317569,-7.61749916242357,3.57115468982089e-14
"86","hosp",-0.00374160133859428,0.000910476092238165,-4.10949982156758,4.08508301601597e-05
"87","vcrime",-0.0127106933726164,0.00872337322188042,-1.45708466774467,0.145211044438407
"88","commute_p",1.97157675331019,0.862148243036231,2.28681873359375,0.0222846283680388
"89","wfh",-1.51878186773614,0.682797816224407,-2.22435079850486,0.0262084798136252
"90","computer",-1.41566204500802,0.40590544520882,-3.48766458227662,0.000495162018966074
"91","p_nursehome",7.87678820620303,3.14317890660469,2.50599423076164,0.0122700302439517
"92","p_liquor",48.7842649441083,31.9348231242905,1.52761970073358,0.126725881652603
"93","drinking",-0.702163919131159,0.650679987136957,-1.07912327566848,0.280630616472389
"94","prematured",0.00275956752760366,0.00103444071614555,2.66769036111236,0.00768377774526222
"95","lowbirthw",-0.95846360864651,1.2555744203809,-0.763366625735928,0.445312474517263
"96",NA,NA,NA,NA,NA
"97","(Intercept)",10825.2820502666,918.602894591004,11.7845067917911,2.54118143453661e-31
"98","a85a",185.897915445852,40.1898319544533,4.62549621149271,3.90652545072791e-06
"99","a7584",198.562053451041,31.4072609903942,6.32217032589279,2.99101697236965e-10
"100","a6574",-49.4312687457449,26.5998301222265,-1.85833024190785,0.0632268940599054
"101","a5564",-17.292246737119,24.7152623119192,-0.699658636792199,0.484198571966741
"102","a2034",-29.3982697981025,13.9539326156952,-2.1068089267563,0.0352227897684895
"103","pdensity",0.0211796282529693,0.025536982066813,0.829370839418556,0.406965219223313
"104","pop",3.36571498825012e-05,7.44996686475025e-05,0.451775833282576,0.651465435431809
"105","sparent",58.1206984829526,16.4410415535159,3.53509832657308,0.000414222244315872
"106","mincome",-0.00175926577234498,0.00384954582394954,-0.457006060663027,0.647702103516553
"107","poverty",27.3662123546644,9.82377823931088,2.78571153460647,0.00537695433714078
"108","chci",-29.9270080912079,4.45303738174274,-6.72058317181601,2.1842054511433e-11
"109","lcp",-3.65138324459797,5.92597677200418,-0.616165635654873,0.537835239380013
"110","ur",-4.34004455019912,13.3825416243203,-0.324306448807294,0.745730236120752
"111","disable",3.67597319982029,9.76638046832209,0.376390538106063,0.706655066514517
"112","hi_pub",-20.3448140353498,5.72048729477495,-3.55648268879691,0.000382077243916338
"113","demv",-17.9309099084312,2.43008987709395,-7.37870235889141,2.09499881376726e-13
"114","commute_p",41.1026355989126,14.5505918191115,2.824808510189,0.00476434662001346
"115","wfh",-57.7775004404444,10.9520633537361,-5.27548997611803,1.42499876253259e-07
"116","computer",-36.9116785496614,6.62220785972388,-5.57392327929744,2.72766795632445e-08
"117","p_nursehome",307.544846010106,51.9512214738314,5.91987709403562,3.61366178929742e-09
"118","p_liquor",806.563593490335,528.914279727134,1.52494198853251,0.127386382794632
"119","drinking",-26.713696384476,10.5447794815084,-2.53335751888618,0.0113516429888352
"120","prematured",0.136784704943237,0.0147659173305391,9.26354264901216,3.82118594998077e-20
"121","lowbirthw",70.8025820163608,17.4791478244518,4.05068843901612,5.24531140479326e-05
"122",NA,NA,NA,NA,NA
"123","(Intercept)",10100.0371396203,1399.87986121756,7.21493138049409,6.94723261444063e-13
"124","a85a",316.119750093414,36.5774454628819,8.64247751839876,9.1756424616892e-18
"125","a7584",218.005570289562,27.7031313096931,7.86934761462446,5.08255005838903e-15
"126","a6574",-78.7065739003565,23.9227324620891,-3.29003277635966,0.00101439980058707
"127","a5564",-39.1968491812605,23.4634171134616,-1.67055160770987,0.0949241129522013
"128","a2034",-37.8843728366892,12.6847593995393,-2.98660555107297,0.00284585072389941
"129","pdensity",0.0215137751500472,0.0220593174299064,0.975269303703857,0.329512503609687
"130","pop",7.56785005876828e-05,6.65004797982253e-05,1.13801435444233,0.255213659709312
"131","aindian",5.36494497028671,4.46706106396245,1.20100103702809,0.229854267920946
"132","black",1.62451056224279,3.67554402861117,0.441978262155826,0.658539702415446
"133","latino",8.74698689511557,3.35637238734566,2.60608355857468,0.00920784509011597
"134","asian",19.1290217136473,12.9694812321174,1.47492574076721,0.140347022890561
"135","sparent",29.763582242423,14.5454169459119,2.04625156866254,0.0408265681468479
"136","mincome",-0.00961787389213474,0.00390852474407433,-2.46074274103452,0.0139260338780059
"137","poverty",10.7068213187305,8.69778029168095,1.23098318877646,0.218434459764272
"138","chci",-23.2079440115432,4.82426744577291,-4.81066696082082,1.5854529636697e-06
"139","lcp",-4.97831517598018,5.46889090837419,-0.910297034515203,0.362745689411478
"140","ur",-4.40632580259115,11.7470135971478,-0.375101787884284,0.707613704271259
"141","disable",14.934915911267,8.98589795564559,1.66203934041826,0.0966188997663922
"142","hi_pub",-16.759925207583,7.79095057101029,-2.15120415087034,0.0315469796353438
"143","demv",-18.3248250131353,3.18368302272776,-5.75585725159118,9.5740983723538e-09
"144","commute_p",38.0623714699509,13.1128551389396,2.90267611947621,0.00372934175493681
"145","wfh",-44.3572607021979,9.9975379063735,-4.43681845646416,9.48890998781612e-06
"146","computer",-15.3091685748224,5.97401782043667,-2.56262519379351,0.0104412262395162
"147","p_nursehome",314.938115507592,44.405336512824,7.0923483580997,1.67005564051702e-12
"148","p_liquor",8.7997133128913,497.02215369411,0.0177048713975575,0.985875579276645
"149","drinking",-53.7316440797342,19.2064610318664,-2.79758170912305,0.005184525182942
"150","prematured",0.133296395648165,0.0144839932596251,9.20301420049233,6.69604182748331e-20
"151","lowbirthw",51.2847502486499,18.6576235938687,2.74872895739537,0.00602177487907825
"152","statenameAL",-548.904968626321,993.968154694042,-0.552235970573204,0.580831585972898
"153","statenameAR",-502.021603455956,987.38074291492,-0.50843770962547,0.611187210892063
"154","statenameAZ",246.565356684721,1013.34854402014,0.243317423348289,0.807777662408631
"155","statenameCA",-1383.83056764843,982.967239098449,-1.40780944939492,0.159300569253305
"156","statenameCO",-304.078169044813,990.506431811256,-0.306992624458552,0.758872238231806
"157","statenameCT",-474.576632136831,1034.23410287423,-0.458867707821603,0.6463654464965
"158","statenameDC",-734.572346376018,1413.08614804617,-0.519835501460183,0.603220088166212
"159","statenameDE",-119.913606780023,1124.6338514226,-0.106624575303633,0.915094601521351
"160","statenameFL",-2841.5334427699,988.116008850243,-2.87570833517439,0.00406223761057177
"161","statenameGA",491.18775442997,988.359153688023,0.49697294004626,0.619247875047407
"162","statenameHI",-2402.17840945235,1126.99280181426,-2.13149401272597,0.0331369215594724
"163","statenameIA",-158.524623981897,983.367727953255,-0.161205843425272,0.871943124740185
"164","statenameID",-955.105177831086,997.88265730901,-0.957131753754212,0.338584922459439
"165","statenameIL",-911.067178983189,982.154441002447,-0.927621095978854,0.353685586076971
"166","statenameIN",-710.678394843847,984.617852014715,-0.721780936014581,0.470490558639142
"167","statenameKS",-1087.92030962507,988.684584237045,-1.10037147030527,0.271266648957815
"168","statenameKY",-378.555431902835,983.411097256901,-0.384941183762078,0.70031077137962
"169","statenameLA",-433.158697610934,989.662116682798,-0.437683417713127,0.661650176199266
"170","statenameMA",-182.53347944045,1009.95370388878,-0.180734501727765,0.856589298969527
"171","statenameMD",-965.261445432318,996.436886842971,-0.968713079752169,0.332773583305058
"172","statenameME",-1578.98086061743,1007.59705975636,-1.56707569293546,0.117212094781074
"173","statenameMI",232.644715110082,982.074235222786,0.236891170510451,0.812758870594648
"174","statenameMN",-1186.56570422392,982.748150777891,-1.20739550950536,0.227383736795734
"175","statenameMO",-627.846983966587,985.870321271711,-0.636845404937947,0.52427857412409
"176","statenameMS",-412.382141473838,994.280319807151,-0.414754404023427,0.678354064760393
"177","statenameMT",264.710842309523,993.729824982397,0.266381098417985,0.789965698783023
"178","statenameNC",-1396.5784957705,986.226260168664,-1.41608325814774,0.156864421417499
"179","statenameND",-709.747485241005,998.402257464288,-0.710883293717304,0.47721686749472
"180","statenameNE",-3015.89141040755,992.027776237981,-3.04012799101711,0.002387068136146
"181","statenameNH",-1042.92788858421,1022.70428376537,-1.01977463587459,0.307925091123942
