"","aindian","black","latino","asian","deathp","casep","chci","mincome","mhomeprice","mrent","sparent","cfr","poverty","p_gym","p_grocery","p_doctor","p_liquor","hi_no","hi_no_eea","prematured","poorhealth","unhealthyd","obesity","healthyfood","pinactivity","exerciseo","drinking","smoking","lowbirthw","pcdoctor"
"hi_no",0.326835908242291,0.198647218718829,0.37627842352123,-0.13912301818612,0.271597324752886,-0.0514422614523477,-0.420302959579563,-0.329065438115333,-0.218325156733574,-0.148461813582629,0.31342374852654,0.299924786816701,0.4308918704425,-0.19132448880674,-0.140665850491707,-0.0700239287267408,-0.162402085391604,1,-0.822933790291632,0.342319126309721,0.469584418603741,0.304534364612549,0.146423380617756,-0.396205321371304,0.268941353180881,-0.252615087027603,-0.33573353024964,0.211876702934544,0.237782838431492,-0.213740492676011
"hi_no_eea",-0.205582468387501,-0.263538596663822,-0.239528286025713,0.178197439734309,-0.282998326328002,0.0429917704144061,0.389269995449919,0.322760881709747,0.272112840046372,0.207148737308476,-0.277472458817661,-0.305773175943382,-0.357689294677783,0.214980659386973,0.171105994948115,0.0833833337273076,0.198690362633967,-0.822933790291632,1,-0.338152653482066,-0.421669271112472,-0.243202738677258,-0.206431779332469,0.352844160031557,-0.32708754254378,0.298536948658558,0.381431008845887,-0.197675306015711,-0.273513909977743,0.227317165363864
"prematured",0.296771236092762,0.36781726888774,-0.175130533434883,-0.342114518498072,0.576774624476258,0.202345212450058,-0.593624902649813,-0.68366398179296,-0.535245759318818,-0.507070364351082,0.391194133011622,0.373740796907441,0.701585391154697,-0.356767224448319,-0.235618513647019,-0.0864870481542866,-0.208670348609074,0.342319126309721,-0.338152653482066,1,0.706782718645913,0.725146020437116,0.473869239770557,-0.614069465690398,0.596932436281823,-0.440802752286171,-0.608203916313002,0.72978328791052,0.587664005760735,-0.309698344717362
"poorhealth",0.120659728525711,0.475226734799322,0.201521903121206,-0.228323489118551,0.514282499290134,0.265765554328233,-0.661418122695027,-0.699769027953697,-0.47715750941538,-0.424532320441201,0.545495817806908,0.308079507740001,0.841092178788693,-0.305522253107612,-0.240981771694213,-0.0491050693063357,-0.212030775401278,0.469584418603741,-0.421669271112472,0.706782718645913,1,0.891662521010664,0.463942167023098,-0.666643296139888,0.603195305500878,-0.439557488067839,-0.670953722099959,0.734057328611932,0.639105717133246,-0.33130749681675
"unhealthyd",0.157502680660538,0.295824459030765,-0.0297446839159615,-0.275650186737039,0.467727163534853,0.303918906912027,-0.598504022724806,-0.714936380192976,-0.462026350145838,-0.464514659360742,0.376882041548694,0.214543500832836,0.768342840195279,-0.29916831084912,-0.21447906589772,-0.0586577355479997,-0.204862874372201,0.304534364612549,-0.243202738677258,0.725146020437116,0.891662521010664,1,0.424031483289331,-0.613995525728796,0.554410731759132,-0.410461337253573,-0.643159893041167,0.814164900570045,0.547831875462005,-0.295631661845491
"obesity",0.0773646988647251,0.323994141589378,-0.192350925186655,-0.34471517037316,0.352816971179543,0.138791197282324,-0.543223662849576,-0.470891827805615,-0.570035274452214,-0.491262604853376,0.332789780550025,0.227004504898162,0.420976000351808,-0.403283538686255,-0.248554148774775,-0.166887394750994,-0.258697423310389,0.146423380617756,-0.206431779332469,0.473869239770557,0.463942167023098,0.424031483289331,1,-0.338041493346649,0.585774930687213,-0.399840894612558,-0.342684592804469,0.514813222216236,0.328489787588136,-0.366668960219877
"healthyfood",-0.277749651917823,-0.550124046397978,0.00826932444936249,0.168984038460042,-0.354178031862878,-0.126077236434623,0.357590772349422,0.616066736529623,0.393265336517952,0.335032877190306,-0.514468885275898,-0.258984458392248,-0.704328128438578,0.2099583206433,0.162564760850366,0.00320768848615754,0.146482506550731,-0.396205321371304,0.352844160031557,-0.614069465690398,-0.666643296139888,-0.613995525728796,-0.338041493346649,1,-0.394340562608499,0.290779201787462,0.475185026919547,-0.5087093128119,-0.537668157329859,0.141666925046044
"pinactivity",0.00230340489144327,0.305043566126103,-0.16721611512073,-0.358228444352026,0.503030831730053,0.168995021578704,-0.65574220963458,-0.58348297628164,-0.583761464217751,-0.527644407136972,0.278791700139952,0.350550208964918,0.524008567017185,-0.441039804260834,-0.2837396227462,-0.161868944298747,-0.259903143396132,0.268941353180881,-0.32708754254378,0.596932436281823,0.603195305500878,0.554410731759132,0.585774930687213,-0.394340562608499,1,-0.482255654861635,-0.512125051808574,0.592370113373,0.419556286241518,-0.421855295144764
"exerciseo",-0.0450680768652141,-0.218243054653692,0.155374337824187,0.382401597650382,-0.384246737168622,-0.0456680049118688,0.575840260830052,0.464921401023741,0.463595473335729,0.517621369100513,-0.0949067601783384,-0.311492176546143,-0.37114069241233,0.462745335982182,0.38323471477697,0.299564667524991,0.308230083076891,-0.252615087027603,0.298536948658558,-0.440802752286171,-0.439557488067839,-0.410461337253573,-0.399840894612558,0.290779201787462,-0.482255654861635,1,0.4227651000236,-0.412527990857782,-0.271074430205368,0.474024990266329
"drinking",-0.00742577889760588,-0.375554749719542,0.0398068035962706,0.21701928896227,-0.471911406077897,-0.0691423920127057,0.47770978458079,0.538147822739883,0.347862353134675,0.352436940811865,-0.279001336835697,-0.368137426232432,-0.566818136613476,0.262257279095703,0.200990636395572,0.0525836412106505,0.197228164257483,-0.33573353024964,0.381431008845887,-0.608203916313002,-0.670953722099959,-0.643159893041167,-0.342684592804469,0.475185026919547,-0.512125051808574,0.4227651000236,1,-0.458172019895158,-0.535857362909982,0.260245633442683
"smoking",0.254039800701202,0.281453611398227,-0.313472105512648,-0.353943964689439,0.45997689831049,0.309175528794874,-0.560774396702466,-0.657706689027362,-0.559488969300969,-0.544025474949945,0.358072578455404,0.225368529128843,0.669026913151156,-0.349202065944936,-0.241761328789019,-0.0914415332872819,-0.201270366232684,0.211876702934544,-0.197675306015711,0.72978328791052,0.734057328611932,0.814164900570045,0.514813222216236,-0.5087093128119,0.592370113373,-0.412527990857782,-0.458172019895158,1,0.474576721123701,-0.305534833254959
"lowbirthw",-0.0727527559838546,0.733274603914482,-0.0611638333285454,-0.11595068539755,0.372983355628461,0.143919375534477,-0.313081383488561,-0.456815509476792,-0.268096570300833,-0.1994852327139,0.525866474710745,0.282397095468122,0.612787342521923,-0.0874583527825289,-0.0742270048944734,0.0775198751855111,-0.0709002286828768,0.237782838431492,-0.273513909977743,0.587664005760735,0.639105717133246,0.547831875462005,0.328489787588136,-0.537668157329859,0.419556286241518,-0.271074430205368,-0.535857362909982,0.474576721123701,1,-0.147334055543616
"pcdoctor",-0.0095757870302601,-0.0626726254021124,-0.00643055209420622,0.34827601492694,-0.283871872067459,-0.0381286514043419,0.597926486783175,0.32967055979254,0.401217184715662,0.380554894942797,-0.0410760387729504,-0.221161386764743,-0.26164981866735,0.454909333511251,0.345543714859864,0.413121021041789,0.26927508469228,-0.213740492676011,0.227317165363864,-0.309698344717362,-0.33130749681675,-0.295631661845491,-0.366668960219877,0.141666925046044,-0.421855295144764,0.474024990266329,0.260245633442683,-0.305534833254959,-0.147334055543616,1
